Date,Open,High,Low,Close,Adj Close,Volume
2021-01-19,3781.879883,3804.530029,3780.370117,3798.909912,3798.909912,4982940000
2021-01-20,3816.219971,3859.750000,3816.219971,3851.850098,3851.850098,4551790000
2021-01-21,3857.459961,3861.449951,3845.050049,3853.070068,3853.070068,4484460000
2021-01-22,3844.239990,3852.310059,3830.409912,3841.469971,3841.469971,5080430000
2021-01-25,3851.679932,3859.229980,3797.159912,3855.360107,3855.360107,6955860000
2021-01-26,3862.959961,3870.899902,3847.780029,3849.620117,3849.620117,6029090000
2021-01-27,3836.830078,3836.830078,3732.479980,3750.770020,3750.770020,9878040000
2021-01-28,3755.750000,3830.500000,3755.750000,3787.379883,3787.379883,6937960000
2021-01-29,3778.050049,3778.050049,3694.120117,3714.239990,3714.239990,6612570000
2021-02-01,3731.169922,3784.320068,3725.620117,3773.860107,3773.860107,5392870000
2021-02-02,3791.840088,3843.090088,3791.840088,3826.310059,3826.310059,5495370000
2021-02-03,3840.270020,3847.510010,3816.679932,3830.169922,3830.169922,4846900000
2021-02-04,3836.659912,3872.419922,3836.659912,3871.739990,3871.739990,4856670000
2021-02-05,3878.300049,3894.560059,3874.929932,3886.830078,3886.830078,4838580000
2021-02-08,3892.590088,3915.770020,3892.590088,3915.590088,3915.590088,4635030000
2021-02-09,3910.489990,3918.350098,3902.639893,3911.229980,3911.229980,4554610000
2021-02-10,3920.780029,3931.500000,3884.939941,3909.879883,3909.879883,4815380000
2021-02-11,3916.399902,3925.989990,3890.389893,3916.379883,3916.379883,4570080000
2021-02-12,3911.649902,3937.229980,3905.780029,3934.830078,3934.830078,4119260000
2021-02-16,3939.610107,3950.429932,3923.850098,3932.590088,3932.590088,5037360000
2021-02-17,3918.500000,3933.610107,3900.429932,3931.330078,3931.330078,4718280000
2021-02-18,3915.860107,3921.979980,3885.030029,3913.969971,3913.969971,4773430000
2021-02-19,3921.159912,3930.409912,3903.070068,3906.709961,3906.709961,4823940000
2021-02-22,3885.550049,3902.919922,3874.709961,3876.500000,3876.500000,5870190000
2021-02-23,3857.070068,3895.979980,3805.590088,3881.370117,3881.370117,6280650000
2021-02-24,3873.709961,3928.649902,3859.600098,3925.429932,3925.429932,5942350000
2021-02-25,3915.800049,3925.020020,3814.040039,3829.340088,3829.340088,6513060000
2021-02-26,3839.659912,3861.080078,3789.540039,3811.149902,3811.149902,6512950000
2021-03-01,3842.510010,3914.500000,3842.510010,3901.820068,3901.820068,5071540000
2021-03-02,3903.639893,3906.409912,3868.570068,3870.290039,3870.290039,5493690000
2021-03-03,3863.989990,3874.469971,3818.860107,3819.719971,3819.719971,6150790000
2021-03-04,3818.530029,3843.669922,3723.340088,3768.469971,3768.469971,7142240000
2021-03-05,3793.580078,3851.689941,3730.189941,3841.939941,3841.939941,6842570000
2021-03-08,3844.389893,3881.060059,3819.250000,3821.350098,3821.350098,5852240000
2021-03-09,3851.929932,3903.760010,3851.929932,3875.439941,3875.439941,5496340000
2021-03-10,3891.989990,3917.350098,3885.729980,3898.810059,3898.810059,5827250000
2021-03-11,3915.540039,3960.270020,3915.540039,3939.340088,3939.340088,5300010000
2021-03-12,3924.520020,3944.989990,3915.209961,3943.340088,3943.340088,4469240000
2021-03-15,3942.959961,3970.080078,3923.540039,3968.939941,3968.939941,4882190000
2021-03-16,3973.590088,3981.040039,3953.439941,3962.709961,3962.709961,4604870000
2021-03-17,3949.570068,3983.870117,3935.739990,3974.120117,3974.120117,4541620000
2021-03-18,3953.500000,3969.620117,3910.860107,3915.459961,3915.459961,4043170000
2021-03-19,3913.139893,3930.120117,3886.750000,3913.100098,3913.100098,7725050000
2021-03-22,3916.479980,3955.310059,3914.159912,3940.590088,3940.590088,4311380000
2021-03-23,3937.600098,3949.129883,3901.570068,3910.520020,3910.520020,4645340000
2021-03-24,3919.929932,3942.080078,3889.070068,3889.139893,3889.139893,4766990000
2021-03-25,3879.340088,3919.540039,3853.500000,3909.520020,3909.520020,4940800000
2021-03-26,3917.120117,3978.189941,3917.120117,3974.540039,3974.540039,5467850000
2021-03-29,3969.310059,3981.830078,3943.250000,3971.090088,3971.090088,4619840000
2021-03-30,3963.340088,3968.010010,3944.350098,3958.550049,3958.550049,4103570000
2021-03-31,3967.250000,3994.409912,3966.979980,3972.889893,3972.889893,4564980000
2021-04-01,3992.780029,4020.629883,3992.780029,4019.870117,4019.870117,4151240000
2021-04-05,4034.439941,4083.419922,4034.439941,4077.909912,4077.909912,3999760000
2021-04-06,4075.570068,4086.229980,4068.139893,4073.939941,4073.939941,4027880000
2021-04-07,4074.290039,4083.129883,4068.310059,4079.949951,4079.949951,4112640000
2021-04-08,4089.949951,4098.189941,4082.540039,4097.169922,4097.169922,3901910000
2021-04-09,4096.109863,4129.479980,4095.510010,4128.799805,4128.799805,3634910000
2021-04-12,4124.709961,4131.759766,4114.819824,4127.990234,4127.990234,3578500000
2021-04-13,4130.100098,4148.000000,4124.430176,4141.589844,4141.589844,3728440000
2021-04-14,4141.580078,4151.689941,4120.870117,4124.660156,4124.660156,3976540000
2021-04-15,4139.759766,4173.490234,4139.759766,4170.419922,4170.419922,4027680000
2021-04-16,4174.140137,4191.310059,4170.750000,4185.470215,4185.470215,4157430000
2021-04-19,4179.799805,4180.810059,4150.470215,4163.259766,4163.259766,3788020000
2021-04-20,4159.180176,4159.180176,4118.379883,4134.939941,4134.939941,4338230000
2021-04-21,4128.419922,4175.020020,4126.350098,4173.419922,4173.419922,3865820000
2021-04-22,4170.459961,4179.569824,4123.689941,4134.979980,4134.979980,4235040000
2021-04-23,4138.779785,4194.169922,4138.779785,4180.169922,4180.169922,3568080000
2021-04-26,4185.029785,4194.189941,4182.359863,4187.620117,4187.620117,3738920000
2021-04-27,4188.250000,4193.350098,4176.220215,4186.720215,4186.720215,3703240000
2021-04-28,4185.140137,4201.529785,4181.779785,4183.180176,4183.180176,3772390000
2021-04-29,4206.140137,4218.779785,4176.810059,4211.470215,4211.470215,4288940000
2021-04-30,4198.100098,4198.100098,4174.850098,4181.169922,4181.169922,4273680000
2021-05-03,4191.979980,4209.390137,4188.029785,4192.660156,4192.660156,4061170000
2021-05-04,4179.040039,4179.040039,4128.589844,4164.660156,4164.660156,4441080000
2021-05-05,4177.060059,4187.720215,4160.939941,4167.589844,4167.589844,4029050000
2021-05-06,4169.140137,4202.700195,4147.330078,4201.620117,4201.620117,4504860000
2021-05-07,4210.339844,4238.040039,4201.640137,4232.600098,4232.600098,4013060000
2021-05-10,4228.290039,4236.390137,4188.129883,4188.430176,4188.430176,3678970000
2021-05-11,4150.339844,4162.040039,4111.529785,4152.100098,4152.100098,3593110000
2021-05-12,4130.549805,4134.729980,4056.879883,4063.040039,4063.040039,3735080000
2021-05-13,4074.989990,4131.580078,4074.989990,4112.500000,4112.500000,3687780000
2021-05-14,4129.580078,4183.129883,4129.580078,4173.850098,4173.850098,3251920000
2021-05-17,4169.919922,4171.919922,4142.689941,4163.290039,4163.290039,3307130000
2021-05-18,4165.939941,4169.149902,4125.990234,4127.830078,4127.830078,3559790000
2021-05-19,4098.450195,4116.930176,4061.409912,4115.680176,4115.680176,3485550000
2021-05-20,4121.970215,4172.799805,4121.970215,4159.120117,4159.120117,3019060000
2021-05-21,4168.609863,4188.720215,4151.720215,4155.859863,4155.859863,3344620000
2021-05-24,4170.160156,4209.520020,4170.160156,4197.049805,4197.049805,2947400000
2021-05-25,4205.939941,4213.419922,4182.520020,4188.129883,4188.129883,3420870000
